number_of_holes,horizental_symetry,vertical_symetry,mean_vtd,stddev_vtd,mean_htd,stddev_htd,bottom_line_density,Class,name
1,0.9605425400739828,0.9702602230483272,1.2280701754385965,0.8241346946873847,1.5454545454545454,0.7322418368317116,0.5964912280701754,0,0/10.15.png
1,0.9726516052318668,0.9963898916967509,1.150943396226415,0.8179765469436042,1.5148514851485149,0.7295733189493515,0.6415094339622641,0,0/107394.png
1,0.9241842610364683,0.9990029910269193,1.2575757575757576,0.790532557799946,1.5544554455445545,0.72767090809998,0.6363636363636364,0,0/107464.png
1,1.0214888718342288,0.9924357034795764,1.267605633802817,0.7738170045554926,1.5862068965517242,0.6986815598246318,0.6901408450704225,0,0/107944.png
1,0.9949647532729103,0.9790209790209791,1.2923076923076924,0.8047335918464904,1.5576923076923077,0.7350704751487436,0.6923076923076923,0,0/108347.png
1,1.0417940876656473,0.9950199203187251,1.2698412698412698,0.8073522876253248,1.5765765765765767,0.7077435276291129,0.6984126984126984,0,0/11093.png
1,0.973920130399348,1.021702838063439,1.2388059701492538,0.7802399055847167,1.5412844036697249,0.7140405384765178,0.6716417910447762,0,0/110956.png
1,1.053941908713693,1.0,1.18,0.8497298490264601,1.4594594594594594,0.7970697910212179,0.62,0,0/114746.png
1,0.9499072356215214,0.9755639097744361,1.1304347826086956,0.8846517369293827,1.3529411764705883,0.8243442601090364,0.4782608695652174,0,0/115135.png
1,0.9860335195530726,1.0314285714285714,1.0909090909090908,0.8577466915658595,1.359375,0.8236039173646594,0.6363636363636364,0,0/116467.png
1,1.3577712609970674,1.141145139813582,1.3709677419354838,0.8727922211141896,1.6036036036036037,0.7170555865263963,0.7903225806451613,0,0/12.08.png
1,1.0403120936280885,1.0141206675224648,1.25,0.8156311895018088,1.556701030927835,0.7355422059744494,0.7,0,0/12.15.png
1,1.0487012987012987,1.0116896918172158,1.2166666666666666,0.8044719642367519,1.542857142857143,0.7209578488235077,0.7166666666666667,0,0/123973.png
1,0.967966573816156,0.9748427672955975,1.3116883116883118,0.7653643827708586,1.5847457627118644,0.6958518260885581,0.6623376623376623,0,0/124993.png
1,1.0376084860173578,0.9990539262062441,1.2753623188405796,0.7837327345131663,1.54,0.7305733185227706,0.6811594202898551,0,0/127747.png
1,1.0834492350486786,0.9841059602649007,1.25,0.8156311895018088,1.5729166666666667,0.7362035140062072,0.6666666666666666,0,0/13.16.png
1,0.9700499168053245,0.9378068739770867,1.16,0.8417668492946421,1.4827586206896552,0.7603865137947057,0.68,0,0/13.219999999999999 (2).png
